I_1,I_2,I_3,I_4,I_5,I_6,I_7
 8,15.5856,174.599,21.1567,10.8606,163.026,143.436,22.9058
 8,73.8209,4536.67,21242.9,14576,2.55313e+08,874179,-2.45096e+07
 8,115.044,11126.8,171268,96236.8,1.21159e+10,8.76245e+06,-2.41988e+09
 8,11.9449,117.148,58.2421,19.3093,-377.517,143.952,-526.112
 8,232.968,112804,1.97149e+08,5.0449e+07,3.80853e+15,1.64303e+10,3.28763e+15
 8,615.632,381398,5.53057e+06,873975,1.42092e+12,2.88303e+08,1.29346e+12
 8,-0.948735,20.7936,3138.41,327.51,-289042,940.457,-163421
 8,37.047,951.901,416.495,187.683,51856.8,2890.57,-8023.56
 8,6.48152,40.5925,6.24022,5.27898,29.943,33.6327,4.62959
 8,   0,   0,   0,   0,   0,   0,   0
 8,0.195098,0.000632002,0.00466309,1.23208e-05,-2.50093e-09,-2.75981e-07,1.57063e-09
 8,   0,   0,   0,   0,   0,   0,   0
 8,0.447037,0.173401,0.0232494,0.0128214,0.000219292,0.00517196,-3.02201e-05
 8,0.224643,0.0170616,0.00391911,0.000234494,-2.94312e-08,-8.13211e-06,-2.22863e-07
 8,   0,   0,   0,   0,   0,   0,   0
 8,   0,   0,   0,   0,   0,   0,   0
 8,7.66986,57.2733,12.6438,15.2834,212.328,114.782,-7.38836
 8,0.903621,0.997529,678.503,713.607,496499,708.841,-7239.2
 8,   0,   0,   0,   0,   0,   0,   0
 8,-940.397,797992,2.98104e+09,3.41316e+09,1.08846e+19,-3.04875e+12,2.38978e+17
 8,0.181627,0.0030092,0.00069404,6.34809e-07,3.67816e-12,-2.9036e-08,-1.2807e-11
 8,6.02893,816.326,42989.2,42163.6,1.70325e+09,-926667,-5.66809e+08
 8,   0,   0,   0,   0,   0,   0,   0
 9,68.8303,171.103,24384.4,8591.12,-5.8977e+07,-29499,1.09469e+08
 9,46.2727,47.4821,13113.2,2523.79,1.18292e+07,17361,8.41829e+06
 9,50.4633,562.634,81732.7,10634,2.26222e+08,-565.99,-2.17042e+08
 9,50.23,105.306,5540.52,363.833,457266,3273.6,-240316
 9,78.7949,381.499,21887.7,12933.4,1.76619e+08,-45271.6,1.27114e+08
 9,53.933,10.3513,2017.99,548.274,-487625,-131.306,-307922
 9,59.3551,821.906,210713,15545.3,-2.83164e+08,-201649,8.43435e+08
 9,73.4072,23.655,2676.56,494.41,514739,2193.48,-241903
 9,49.0393,14.1182,342.821,3469.17,-945197,10943.1,3.66333e+06
 9,50.3818,118.768,4920.26,2975.65,-1.08773e+07,-30552.2,-3.36489e+06
 9,55.8153,22.6537,9451.63,5472.45,3.93552e+07,-99.2461,-419168
 9,49.0002,48.1816,4199.84,284.099,310183,1914.82,9455.13
 9,69.9493,50.8212,12512.3,2415.91,3.79594e+06,-15623.5,-1.27288e+07
 9,58.6964,246.213,30418.8,10522.7,8.65537e+07,8775.33,1.67185e+08
 9,53.3893,246.761,26104.7,7884.43,-1.12159e+08,-123229,1.46653e+07
 9,66.9965,60.9841,8941.97,943.982,-2.24862e+06,-4295.75,1.57021e+06
 9,42.2846,119.376,3906.44,722.848,-262128,-6157.03,1.18606e+06
 9,49.9442,51.7042,8441.07,2680.57,-8.88352e+06,-18825.3,9.14702e+06
 9,75.9547,208.394,19198,10708.8,1.36025e+08,106938,-7.12308e+07
 9,85.432,1059.13,230423,52526.8,3.62537e+09,691784,4.50008e+09
 9,70.8215,161.011,48698.3,629.079,631610,7633.63,-3.42412e+06
 9,60.6942,268.109,31302.4,1157.79,-6.21687e+06,-15745,-3.15155e+06
 9,66.3974,585.661,36926.8,9328.46,1.10171e+08,109958,1.3356e+08
 9,48.0604,1247.23,182476,5941.18,1.65157e+08,40256.8,1.04834e+08
 9,58.4345,379.473,37172.6,10095.2,-4.7507e+07,-36290.8,1.89703e+08
